City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
550,Alta Floresta,BR,-9.8756,-56.0861,93.02,38,0,2.3,clear sky
551,Sembakung,ID,3.8167,117.25,76.08,94,64,0.27,broken clouds
552,Mineiros,BR,-17.5694,-52.5511,83.59,39,77,9.93,broken clouds
553,Kutum,SD,14.2,24.6667,93.22,9,73,9.71,broken clouds
554,Demba,CD,-5.51,22.2667,83.3,45,92,2.86,overcast clouds
555,Bosaso,SO,11.2842,49.1816,89.26,50,3,1.9,clear sky
556,Porto Nacional,BR,-10.7081,-48.4172,86.0,24,27,3.67,scattered clouds
557,Omboue,GA,-1.5746,9.2618,79.11,84,92,7.56,light rain
558,Paka,MY,4.6374,103.4368,75.13,94,99,6.58,overcast clouds
559,Olafsvik,IS,64.8945,-23.7142,46.51,78,50,22.41,scattered clouds
560,Lorengau,PG,-2.0226,147.2712,82.53,77,99,11.3,overcast clouds
561,Hervey Bay,AU,-25.2986,152.8535,59.04,68,97,3.0,overcast clouds
562,Nelson,NZ,-41.2833,173.2833,50.7,97,100,1.99,moderate rain
563,Ranong,TH,9.9658,98.6348,79.65,85,52,7.65,broken clouds
564,Picton,AU,-34.1833,150.6,53.76,65,77,5.57,broken clouds
565,Portalegre,PT,39.2938,-7.4312,89.92,27,23,9.4,few clouds
566,Saint-Augustin,CA,51.226,-58.6502,55.45,37,29,9.57,scattered clouds
567,Ugoofaaru,MV,5.6667,73.0,83.62,74,65,21.12,broken clouds
568,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,77,40,8.28,scattered clouds
569,Akdepe,TM,42.0551,59.3788,96.89,15,4,7.58,clear sky
570,Troitsko-Pechorsk,RU,62.7084,56.1964,54.93,54,100,3.65,overcast clouds
571,Concepcion Del Uruguay,AR,-32.4825,-58.2372,58.98,61,0,8.01,clear sky
572,Flin Flon,CA,54.7682,-101.865,48.04,93,90,14.83,overcast clouds
573,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,87,75,0.67,broken clouds
574,Snyder,US,32.7179,-100.9176,73.35,73,90,9.22,overcast clouds
575,Mancio Lima,BR,-7.6142,-72.8958,89.67,66,20,2.21,few clouds
576,Winneba,GH,5.3511,-0.6231,86.47,71,100,9.64,overcast clouds
577,Yayva,RU,59.3303,57.2641,66.18,91,83,2.44,broken clouds
578,Namie,JP,37.4833,141.0,66.96,75,40,5.3,scattered clouds
