City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
437,Wilmington,US,88.93,34.2257,-77.9447,clear sky,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
438,Lazaro Cardenas,MX,88.11,17.9583,-102.2,broken clouds,Hotel Quinta Antigua
441,Port-Gentil,GA,82.36,-0.7193,8.7815,light rain,Fengshui Residence
447,Qui Nhon,VN,82.17,13.7667,109.2333,scattered clouds,Hoang Yen Canary Hotel
448,Lata,PT,82.04,40.1629,-8.3327,clear sky,Casa Maquia
455,Surt,LY,75.42,31.2089,16.5887,clear sky,الهادي ابوشعاله سرت
458,Salalah,OM,86.09,17.0151,54.0924,few clouds,HAMDAN PLAZA HOTEL SALALAH
459,Iralaya,HN,87.89,15.0,-83.2333,few clouds,Iglesia morava renovada
460,Noumea,NC,72.0,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
461,Cayenne,GF,86.04,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
463,Cumbitara,CO,70.68,1.6517,-77.5823,few clouds,Hotel inter
464,Presidencia Roque Saenz Pena,AR,71.91,-26.7852,-60.4388,clear sky,Hotel Gualok
465,Korla,CN,80.73,41.7597,86.1469,broken clouds,Gulisitan Hotel
466,Lamu,KE,78.17,-2.2717,40.902,broken clouds,Lamu House
467,Sao Joao Da Barra,BR,87.89,-21.6403,-41.0511,clear sky,Pousada Porto De Canoas
470,Mitsamiouli,KM,78.49,-11.3847,43.2844,scattered clouds,Foyer ADM
471,Biak,ID,76.96,-0.9131,122.8766,overcast clouds,Penginapan Kim
472,Antofagasta,CL,70.21,-23.65,-70.4,clear sky,"Holiday Inn Express Antofagasta, an IHG Hotel"
475,Port Moresby,PG,74.62,-9.4431,147.1797,broken clouds,Lamana Hotel
476,Roebourne,AU,71.31,-20.7833,117.1333,overcast clouds,Latitude20 Roebourne Village
478,Hami,CN,84.18,42.8,93.45,broken clouds,Laoyutang Resort
479,Kagadi,UG,73.08,0.9606,30.7967,overcast clouds,ADNEC MOTEL
481,Cestas,FR,74.01,44.7435,-0.6791,broken clouds,Hôtel Première Classe Bordeaux Pessac
482,Porto Novo,BJ,87.62,6.4965,2.6036,overcast clouds,Tour Eiffel Hotel Benin
486,Praia,CV,79.34,14.9215,-23.5087,few clouds,LT Aparthotel
489,Banda Aceh,ID,80.92,5.5577,95.3222,overcast clouds,Sulthan Hotel International
493,Takestan,IR,87.93,36.0696,49.6959,clear sky,baghdadi hotelهتل و رستوران بغدادی
494,Dumka,IN,84.76,24.2667,87.25,few clouds,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
495,Gigmoto,PH,81.57,13.7796,124.39,overcast clouds,Cj's Travellers Inn
499,High Rock,BS,80.62,26.6208,-78.2833,clear sky,Hideaway Bahamas Beach Club
502,Dingle,PH,78.49,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
504,Morondava,MG,73.62,-20.2833,44.2833,broken clouds,La Case Bambou
506,Ormara,PK,84.67,25.2088,64.6357,clear sky,Crystal Beach and Camping Resort Ormara
511,Tamandare,BR,82.29,-8.7597,-35.1047,scattered clouds,Pousada 100 Passos
513,Port Hedland,AU,71.65,-20.3167,118.5667,overcast clouds,The Esplanade Hotel
515,Pochutla,MX,86.83,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
519,Bathsheba,BB,86.61,13.2167,-59.5167,few clouds,Atlantis Hotel
525,San Lawrenz,MT,72.86,36.0553,14.204,broken clouds,San Andrea Hotel
527,Ahuimanu,US,73.85,21.4447,-157.8378,scattered clouds,Paradise Bay Resort
534,Luang Prabang,LA,76.96,19.8856,102.1347,broken clouds,Villa Oasis
536,Santa Rosa,PH,87.78,14.3122,121.1114,overcast clouds,Erlyn’s Sta Rosa City Home
539,Sigayevo,RU,70.84,56.4216,53.7757,light rain,Gostevye Apartment
540,Poum,NC,71.01,-20.2333,164.0167,overcast clouds,Gîte kajeon
542,Khandbari,NP,72.64,27.3747,87.2039,broken clouds,Sainik Hotel And Lodge
543,Shirvan,AZ,81.43,39.9509,48.8994,clear sky,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
544,Sechura,PE,73.27,-5.5569,-80.8222,overcast clouds,Hospedaje Costa Bella
545,Uaua,BR,88.83,-9.8414,-39.4817,broken clouds,Hotel Uauá
549,Mango,US,89.85,27.9797,-82.3065,scattered clouds,Hilton Garden Inn Tampa East/Brandon
552,Mineiros,BR,83.59,-17.5694,-52.5511,broken clouds,Pilões Palace Hotel
555,Bosaso,SO,89.26,11.2842,49.1816,clear sky,Red Sea Hotel
556,Porto Nacional,BR,86.0,-10.7081,-48.4172,scattered clouds,Vila Real Hotel
557,Omboue,GA,79.11,-1.5746,9.2618,light rain,Hotel Olako
558,Paka,MY,75.13,4.6374,103.4368,overcast clouds,RUMBIA RESORT VILLA
560,Lorengau,PG,82.53,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
563,Ranong,TH,79.65,9.9658,98.6348,broken clouds,Tinidee Hotel@Ranong
565,Portalegre,PT,89.92,39.2938,-7.4312,few clouds,Rossio Hotel
567,Ugoofaaru,MV,83.62,5.6667,73.0,broken clouds,Ungoofaaru Inn
574,Snyder,US,73.35,32.7179,-100.9176,overcast clouds,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
575,Mancio Lima,BR,89.67,-7.6142,-72.8958,few clouds,Hotel e Distribuidora Voyage
576,Winneba,GH,86.47,5.3511,-0.6231,overcast clouds,Windy Lodge & Beach Resort
579,Sumbe,AO,80.92,-11.2061,13.8437,scattered clouds,Hotel Ritz Sumbe
580,Simpang,ID,76.75,-1.2667,104.0833,overcast clouds,Sk 7 rt 1 dusun 3 rantau makmur berbak
581,Kormilovka,RU,73.15,55.0026,74.1028,clear sky,"Zhemchuzhina, Baza Otdykha"
584,Mandera,KE,86.14,3.9366,41.867,scattered clouds,Kornesh Hotel and Lodging
586,Porto Velho,BR,87.85,-8.7619,-63.9039,few clouds,Hotel Central
589,Tamiahua,MX,87.3,21.2667,-97.45,scattered clouds,Mission Of The Sun Hotel
593,Maroantsetra,MG,74.21,-15.4333,49.7333,few clouds,Annexe Vatsy Hôtel
594,Jesus Carranza,MX,89.98,17.4333,-95.0333,few clouds,Departamento Doris
596,Muisne,EC,82.51,0.6,-80.0333,overcast clouds,Quinta Samay
599,Marsa Matruh,EG,75.4,31.3525,27.2453,clear sky,Beau Site
605,Porbandar,IN,83.75,21.6422,69.6093,overcast clouds,Lords Inn Porbandar
606,Vila,PT,75.74,42.0304,-8.1588,clear sky,Hotel Castrum Villae by Walk Hotels
607,Havelock,US,88.99,34.8791,-76.9013,broken clouds,Sherwood Motel
608,Tautira,PF,75.0,-17.7333,-149.15,light rain,Pension Oaoa
611,Lovington,US,71.04,32.944,-103.3485,few clouds,Buena vida rv parks
615,Fort-Shevchenko,KZ,73.17,44.5086,50.263000000000005,few clouds,Oasis hotel Bautino
618,Cap Malheureux,MU,75.69,-19.9842,57.6142,few clouds,Pereybere Hotel & Spa
619,Hambantota,LK,82.74,6.1241,81.1185,few clouds,Bungalow 63
623,Haapiti,PF,74.71,-17.5667,-149.8667,broken clouds,Linareva Moorea Beach Resort
624,Komsomolskiy,UZ,83.62,40.4272,71.7189,overcast clouds,Ikathouse
626,Puerto Madero,MX,82.6,14.7208,-92.4215,broken clouds,Hotel La Central
628,Sirajganj,BD,87.33,24.45,89.7167,few clouds,Sourav talukder
631,North Myrtle Beach,US,87.1,33.816,-78.68,clear sky,Avista Resort
638,Lira,UG,73.35,2.235,32.9097,broken clouds,ST Lira Hotel Limited
640,Tocopilla,CL,70.34,-22.092,-70.1979,few clouds,Hotel Galvarino
646,Narathiwat,TH,82.18,6.3333,101.75,overcast clouds,MUSOR
648,Auki,SB,75.94,-8.7676,160.7034,heavy intensity rain,Auki Motel
650,Mayumba,GA,79.45,-3.432,10.6554,light rain,LIKWALE LODGE
651,Kumluca,TR,75.51,36.3703,30.2869,clear sky,TurkuazKöy
652,La Rioja,ES,76.78,42.25,-2.5,light rain,Casa Concejos
653,Bojnurd,IR,89.55,37.4747,57.32899999999999,few clouds,Homag Commercial & Social Complex
655,Hvide Sande,DK,70.38,56.0045,8.1294,few clouds,Hvide Sande Hotel
656,Carutapera,BR,86.23,-1.195,-46.02,overcast clouds,Lidera
658,Price,US,72.66,39.5994,-110.8107,clear sky,National 9 - Price River Inn
